signe,participant_ID,âge,sexe,Natif,AoA,utilisation_LSF,surdité,note_freq,note_concret,note_iconic
rêver,A6,47,M,0,12,5,1,5,5,5
rêver,A7,52,M,0,16,5,1,5,1,2
rêver,A8,22,F,0,11,4,1,1,5,4
rêver,A9,28,M,1,0,5,1,5,4,3
rêver,A10,36,M,1,0,5,1,4,4,4
rêver,A11,33,M,1,0,5,1,5,5,4
rêver,A12,25,M,1,0,3,1,5,5,5
rêver,A13,22,F,0,6,2,1,5,1,5
rêver,A14,69,F,0,24,3,0,4,1,2
rêver,A15,34,M,1,0,5,1,5,5,3
rêver,A16,25,F,0,16,4,1,4,4,5
interprète,A1,27,F,1,0,5,1,5,1,1
interprète,A2,26,F,0,16,3,0,3,2,4
interprète,A3,26,M,1,0,5,1,5,1,3
interprète,A4,41,F,0,9,5,1,5,5,2
interprète,A5,27,M,1,0,5,1,4,3,3
interprète,A6,47,M,0,12,5,1,5,5,5
interprète,A7,52,M,0,16,5,1,5,1,1
interprète,A8,22,F,0,11,4,1,4,5,1
interprète,A9,28,M,1,0,5,1,4,4,5
interprète,A10,36,M,1,0,5,1,3,5,1
interprète,A11,33,M,1,0,5,1,5,4,2
interprète,A12,25,M,1,0,3,1,5,5,5
interprète,A13,22,F,0,6,2,1,5,1,2
interprète,A14,69,F,0,24,3,0,4,2,2
interprète,A15,34,M,1,0,5,1,5,3,1
interprète,A16,25,F,0,16,4,1,2,3,4
long,A1,27,F,1,0,5,1,5,1,1
long,A2,26,F,0,16,3,0,1,2,3
long,A3,26,M,1,0,5,1,5,1,3
long,A4,41,F,0,9,5,1,5,5,2
long,A5,27,M,1,0,5,1,4,2,2
long,A6,47,M,0,12,5,1,5,5,5
long,A7,52,M,0,16,5,1,4,1,1
long,A8,22,F,0,11,4,1,1,5,1
long,A9,28,M,1,0,5,1,4,3,2
long,A10,36,M,1,0,5,1,3,4,1
long,A11,33,M,1,0,5,1,5,4,1
long,A12,25,M,1,0,3,1,4,4,5
long,A13,22,F,0,6,2,1,4,2,1
long,A14,69,F,0,24,3,0,4,1,1
long,A15,34,M,1,0,5,1,5,5,1
long,A16,25,F,0,16,4,1,4,4,5
couple,A1,27,F,1,0,5,1,5,4,5
couple,A2,26,F,0,16,3,0,2,2,4
couple,A3,26,M,1,0,5,1,5,1,5
couple,A4,41,F,0,9,5,1,5,5,3
couple,A5,27,M,1,0,5,1,5,5,3
couple,A6,47,M,0,12,5,1,5,5,5
couple,A7,52,M,0,16,5,1,4,1,1
couple,A8,22,F,0,11,4,1,3,5,5
couple,A9,28,M,1,0,5,1,5,4,3
couple,A10,36,M,1,0,5,1,4,4,1
couple,A11,33,M,1,0,5,1,2,2,2
couple,A12,25,M,1,0,3,1,5,5,5
couple,A13,22,F,0,6,2,1,3,1,3
couple,A14,69,F,0,24,3,0,4,4,4
couple,A15,34,M,1,0,5,1,5,3,3
couple,A16,25,F,0,16,4,1,3,4,5
voler,A1,27,F,1,0,5,1,5,1,1
voler,A2,26,F,0,16,3,0,4,3,4
voler,A3,26,M,1,0,5,1,4,4,4
voler,A4,41,F,0,9,5,1,4,5,4
voler,A5,27,M,1,0,5,1,1,1,1
voler,A6,47,M,0,12,5,1,3,3,3
voler,A7,52,M,0,16,5,1,4,1,2
voler,A8,22,F,0,11,4,1,1,4,3
voler,A9,28,M,1,0,5,1,1,1,1
voler,A10,36,M,1,0,5,1,3,4,4
voler,A11,33,M,1,0,5,1,1,2,4
voler,A12,25,M,1,0,3,1,2,4,4
voler,A13,22,F,0,6,2,1,1,1,1
voler,A14,69,F,0,24,3,0,3,3,2
